Time.[DayKey],Time.[Day],Time.[WeekKey],Time.[Week]
7/1/2017 12:00:00 AM,01-Jul-17,6/25/2016 12:00:00 AM,Jun WK04 2016
7/2/2017 12:00:00 AM,02-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/3/2017 12:00:00 AM,03-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/4/2017 12:00:00 AM,04-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/5/2017 12:00:00 AM,05-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/6/2017 12:00:00 AM,06-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/7/2017 12:00:00 AM,07-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/8/2017 12:00:00 AM,08-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/9/2017 12:00:00 AM,09-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/10/2017 12:00:00 AM,10-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/11/2017 12:00:00 AM,11-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/12/2017 12:00:00 AM,12-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/13/2017 12:00:00 AM,13-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/14/2017 12:00:00 AM,14-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/15/2017 12:00:00 AM,15-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/16/2017 12:00:00 AM,16-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/17/2017 12:00:00 AM,17-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/18/2017 12:00:00 AM,18-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/19/2017 12:00:00 AM,19-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/20/2017 12:00:00 AM,20-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/21/2017 12:00:00 AM,21-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/22/2017 12:00:00 AM,22-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/23/2017 12:00:00 AM,23-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/24/2017 12:00:00 AM,24-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/25/2017 12:00:00 AM,25-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/26/2017 12:00:00 AM,26-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/27/2017 12:00:00 AM,27-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/28/2017 12:00:00 AM,28-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/29/2017 12:00:00 AM,29-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/30/2017 12:00:00 AM,30-Jul-17,7/30/2017 12:00:00 AM,Aug WK01 2017
7/31/2017 12:00:00 AM,31-Jul-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/1/2017 12:00:00 AM,01-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/2/2017 12:00:00 AM,02-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/3/2017 12:00:00 AM,03-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/4/2017 12:00:00 AM,04-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/5/2017 12:00:00 AM,05-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/6/2017 12:00:00 AM,06-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/7/2017 12:00:00 AM,07-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/8/2017 12:00:00 AM,08-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/9/2017 12:00:00 AM,09-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/10/2017 12:00:00 AM,10-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/11/2017 12:00:00 AM,11-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/12/2017 12:00:00 AM,12-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/13/2017 12:00:00 AM,13-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/14/2017 12:00:00 AM,14-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/15/2017 12:00:00 AM,15-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/16/2017 12:00:00 AM,16-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/17/2017 12:00:00 AM,17-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/18/2017 12:00:00 AM,18-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/19/2017 12:00:00 AM,19-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/20/2017 12:00:00 AM,20-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/21/2017 12:00:00 AM,21-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/22/2017 12:00:00 AM,22-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/23/2017 12:00:00 AM,23-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/24/2017 12:00:00 AM,24-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/25/2017 12:00:00 AM,25-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/26/2017 12:00:00 AM,26-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/27/2017 12:00:00 AM,27-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/28/2017 12:00:00 AM,28-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/29/2017 12:00:00 AM,29-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/30/2017 12:00:00 AM,30-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/31/2017 12:00:00 AM,31-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/1/2017 12:00:00 AM,01-Sep-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/2/2017 12:00:00 AM,02-Sep-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/3/2017 12:00:00 AM,03-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
